TIPO,DESCRIPCION,RAZON,GIRO,ENTIDAD,INCUMPLIMIENTO,RESULTADO
MU�ECOS,EN EMPAQUE DE CARTON ESTAMPADO Y PLASTICO RIGIDO  MU�ECA PARA NI�A DE LA MARCA BARBIE DE ORIGEN CHINA. CONTENIDO UNA PIEZA MODELO BARBIE BASICA LIFE FASHION CON NUMERO DE LOTE T7439 INDICA INFORMACION IMPORTANTE PARA CONSULTA  IMPO,JULIO CEPEDA JUGUETERIAS S.A. DE C.V.,JUGUETERIA,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
ROPA CABALLERO,CAMISA PARA CABALLERO EN COLOR AZUL MARINO DE LA MARCA C & A DE ORIGEN BANGLADESH  IMPORTADO POR C & A MEXICO  DE COMPOSICION EN 64% ALGODON  32% POLIAMIDA Y 4% ELASTANO CON NUMERO DE LOTE 252959. CONTIENE INSTRUCCIONES DE CUIDADO,C&A DE MEXICO S. DE R.L.,TIENDA DEPARTAMENTAL,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
BRANDY,"UNA BOTELLA BRANDY DE LA MARCA TORRES 10 CON LA LEYENDA 100% DE UVA  GRAN RESERVA CON 38% ALC. VOL. CON UN CONTENIDO NETO DE 700ML CON SELLO DE SHCP CON LA LEYENDA ""EL ABUSE EN EL CONSUMO DE ESTE PRODUCTO ES NOCIVO PARA LA SALUD""",ASFEIXAS  S.A. DE C.V.,MOTEL,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
BRANDY,ENVASE DE VIDRIO CONTENIDO BRANDY DE LA MARCA AZTECA DE ORO  SOLERA RESERVADA CON 38% ALC. VOL. CONTENIDO NETO 700ML HECHO ENMEXICO PRODUCTO 100% DE UVA FABRICADO POR INDUSTRIAS VINICOLAS PEDRO DOMER  S.A. DE C.V.,MOTEL VILLA MIRO- MIRO HOTELERIA  S.A. DE C.V.,MOTEL,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
BRANDY,BOTELLA DE VIDRIO CONTENIDO BRANDY 100% UVA GRAN RESERVA MARCA TORRES 10 CONT. NET. 700ML  38%ALC. VOL. ORIGEN ESPA�A,MOTEL LUA- COMPA�IA HOTELERA PESCADORES  S.A. DE C.V.,MOTEL,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
BRANDY,BOTELLA DE VIDRIO CONTENIDO BRANDY 100% DE UVA MARCA TORRES 10 CONTENIDO NETO 700 ML  38% ALC. VOL. ORIGEN ESPA�A,MOTEL PEDRA- PEDRA  S.A. DE C.V.,MOTEL,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
ZAPATOS,ZAPATOS EN COLOR ROJO PARA CABALLERO DE LA MARCA PUMA DE LA TALLA 24 CORTE PIEL VACUNO  FORRO TEXTIL  SUELA SINTETICA HECHO EN INDONESIA IMPORTADO Y DISTRIBUIDO POR DA MEXICO CALZADO Y ARTICULOS DEPORTIVOS S. DE R.L. DE C.V.,CANDY STREET- CLAUDIA STEPHANIE MORA GARCIA,ZAPATERIA,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
ROPA,VESTIDO CORTO ESTILO 12249  TALLA 13  100% POLIESTER  FORRO NACIONAL. LAVAR EN SECO. NO USAR BLANQUEADOR. PLANCHAR CON LIENZO HECHO EN MEXICO DE LA MARCA LA DIFFERENCE  S.A. DE C.V.,VICKY BOUTIQUE- ROCIO ESPARZA ORTIZ,ROPA PARA DAMA,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
RON,"EN ENVASE DE VIDRIO CONTENIDO 750 ML DE RON TIPO SOLERA DE LA MARCA BACARDI CON 38% ALC. VOL. HECHO EN MEXICO CON LEYENDA INSERTA: EL ABUSO EN EL CONSUMO DE ESTE PRODUCTO ES NOCIVO PARA LA SALUD""",MOTEL CASTILLO-CIA. HOTELERA FENTOS  S. A. DE C. V.,HOTEL,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
TEQUILA,BOTELLA DE VIDRIO CONTENIDO TEQUILA 100% DE AGAVE MARCA GRAN CENTENARIO REPOSADO. HECHO EN MEXICO CONTENIDO NETO 950 ML 35% ALC. VOL. CON LEYENDA DE ABUSO DEL CONSUMO DE ESTE PRODUCTO ES NOCIVO PARA LA SALUD,MOTEL LOS ARCOS S.A. DE C.V.,BAR,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
BRANDY,"ENVSE DE VIDRIO CONTENIDO BRANDY PENEDES 100% DE UVA GRAN RESERVA TORRES 10 ORIGEN ESPA�A CON CONTENIDO NETO 750 ML  38% ALC. VOL. CON LEYENDA ""ESTE PRODUCTO EN EXCESO ES NOCIVO PARA LA SALUD"" LOTE 6424821",RESTAURANTE LOS ARCOS- MARIS BAJA  S.A. DE C.V.,RESTAURANT-BAR,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
BRANDY,"BOTELLA DE VIDRIO CONTENIDO BRANDY 100% DE UVA GRAN RESERVA MARCA TORRES 10 CONT. NET. 700ML  38% ALC. VOL. DE ORIGEN ESPA�A CON LA LEYENDA ""EL ABUSO EN EL CONSUMO DE ESTE PRODUCTO ES NOVICO PARA LA SALUD"" LOTE L414211",EL ALMACEN DEL BIFE- SI NO HAY PARA TODOS NO HAY PARA NADIE  S.A. DE C.V.,RESTAURANT-BAR,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
BRANDY,"BOTELLA DE SOLERA GRAN RESERVA DE LA MARCA TORRES 5 CON UN CONTENIDO DE 700ML Y 38% ALC. VOL.  100% UVA CON LA LEYENDA""EL ABUSO EN ELCONSUMO DE ESTE PRODUCTO ES NOCIVO PARA LA SALUD""",ANTIGUA HACIENDA LA NORIA- HECTOR FLORES AGUILAR,RESTAURANT-BAR,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
CERVEZA,"ENVASE DE VIDRIO CON CONTENIDO NETO DE 355 ML DE CERVEZA NEGRA DE LA MARCA MODELO CON 5.3 ALC. VOL. HECHO EN MEXICO CON LA LEYENDA ""EL ABUSO EN EL CONSUMO DE ESTE PRODUCTO ES NOCIVO PARA LA SALUD""",VIRREY BUFFETS S.A. DE C.V.,RESTAURANTE,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
TEQUILA,ENVASE DE VIDRIO CONTENIDO 700 ML DE TEQUILA REPOSTADO  100% DE AGAVE  CON 35% VOL. ALC. HECHO EN MEXICO CON NeMERO DE LOTE 35613 DE LA MARCA CENTENARIO,LA VENUSTIANA BAR- MULTISERVICIOS SAN MARCOS  S. DE R.L. DE C.V.,BAR,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
MEZCAL,ENVASE DE VIDRIO CONTENIDO MEZCAL  750ML 100% DE AGAVE  HECHO EN MEXICO  38% VOL. ALC. HECHO EN MEXICO DE LA MARCA EL SE�ORIO  MEZCAL JOVEN CON GUSANO,LA VENUSTIANA BAR- MULTISERVICIOS SAN MARCOS  S. DE R.L. DE C.V.,BAR,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
BRANDY,ENVASE DE VIDRIO CON CONTENIDO NETO DE 700ML DE BRANDY IMPERIAL  100% DE UVA CON 38% ALC. VOL. DE LA MARCA TORRES 10,LA VENUSTIANA BAR- MULTISERVICIOS SAN MARCOS  S. DE R.L. DE C.V.,BAR,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
TEQUILA,"UNA BOTELLA DE TEQUILA DE LA MARCA GRAN CENTENARIO CON LA LEYENDA 100% AGAVE CON UN CONTENIDO NETO DE 700ML Y 35% ALC. VOL. CON LA LEYENDA ""EL ASUO EN EL CONSUMO DE ESTE PRODUCTO ES NOCIVO PARA LA SALUD"" CON NUMERO DE LOTE L073714",THE GREAT WOODSTOCK- ALBERTO LOPEZ REED,RESTAURANT-BAR,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
MEZCAL,"UNA BOTELLA DE MEZCAL DE LA MARCA ALACRAN CON CONTENIDO NETO 750ML  46% ALC. VOL. Y 100% AGAVE ESPADIN.PRODUCCION ARTESANAL CON LA LEYENDA ""EL ABUSO EN EL CONSUMO DE ESTE PRODUCTO ES NOCIVO PARA LA SALUD""",THE GREAT WOODSTOCK- ALBERTO LOPEZ REED,RESTAURANT-BAR,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
BRANDY,"UNA BOTELLA DE BRANDY DE LA MARCA TORRES 10 CON CONT. NETO DE 700ML  38% ALC. VOL. DE ORIGEN ESPA�A  CON LEYENDA ""EL ABUSO EN EL CONSUMO DE ESTE PRODUCTO ES NOCIVO PARA LA SALUD""",THE GREAT WOODSTOCK- ALBERTO LOPEZ REED,RESTAURANT-BAR,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
BEBIDAS,EMPAQUE DE PLASTICO CONTENIDO 357 GR DE ALIMENTO EN POLVO PARA PREPARAR BEBIDA FORTIFICADA SABOR A CHOCOLATE DE LA MARCA NESTLE  ENRIQUECIDO CON VITAMINAS MINERALES Y HIERRO CON INSTRUCCION DE PREPARACION HECHO EN MEXICO CON CARACT,CADENA COMERCIAL OXXO  S. A. DE C.V.,TIENDA DE AUTOSERVICIO,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
SOPA DE PASTA,ENVASE DE PLASTICO DE LA MARCA KNORR CONTENIDO 95 GR DE SOPA DE FIDEOS  FORTIFICADA CON VITAMINAS EMPAQUE PARA CUATROPORCIONES RINDIENDO UN LIGRO DE AGUA MISMA CON INFORMACION NUTRIMENTAL CON CARACTERISTICAS DEL PRODUCTO EN EL EMPA,CADENA COMERCIAL OXXO  S. A. DE C.V.,TIENDA DE AUTOSERVICIO,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
GELATINAS,EMPAQUE DE PLASTICO CONTENIDO 25 GR DE POLVO PARA PREPARAR GELATINA BAJA EN CALORIAS SABOR A FRESA CUAL RINDE UN LIGRO DE LA MARCA JELLO LIGHT  CON DESCRIPCION DE INGREDIENTES  INSTRUCCIONES DE PREPARACION  CADUCIDAD DE OCTUBRE 201,FARMACIA GUADALAJARA  S. A. DE C. V.,TIENDAS DE AUTOSERVICIO ESPECIALIZADAS,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
PRODUCTO LACTEO COMBINADO,EMPAQUE DE PLASTICO CONTENIDO 227 GR DE SUSTITUTO DE CREMA PARA CAFE EN POLVO LIBRE DE COLESTEROL Y GRASAS TRANS DE LAM ARCA CALKINS HECHO EN EUA. CON TABLA DE INFORMACION NUTRIMENTAL  DESCRIBIENDO CARACTERISTICAS DEL PRODUCTO  MIS,FARMACIA GUADALAJARA  S. A. DE C. V.,TIENDAS DE AUTOSERVICIO ESPECIALIZADAS,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
ATUN,LOMO DE ATUN MARCA DOLORES CONT. NET. 295 GR HECHO EN MEXICO,ABARROTES - JOSE ALVARO NU�EZ GUZMAN,ABARROTES,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
VELADORAS  Y CERAS,VELADORA MARCA CRISTO REY CONT. NET. 1 PIEZA HECHO EN MEXICO,ABARROTES - JOSE ALVARO NU�EZ GUZMAN,ABARROTES,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
FRIJOLES,FRIJOLES NEGROS REFRITOS MARCA LA SIERRA CONT. NET. 580 GR HECHO EN MEXICO,ABARROTES - JOSE ALVARO NU�EZ GUZMAN,ABARROTES,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
ATUN,LATA DE ATUN  DE LOMO ALETA AMARILLA,SUPERAMA-NUEVA WAL MART DE MEXICO  S. DE R. L. DE C. V.,TIENDA DE AUTOSERVICIO,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
HUEVO,EMPAQUE DE PLASTICO CONTENIDO 18 HUEVOS BLANCOS,SAM'S CLUB- NUEVA WAL MART DE MEXICO  S DE RL DE CV,TIENDA DEPARTAMENTAL,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
TEQUILA,BOTELLA DE TEQUILA CONTENIDO NETO 950 ML CON 35% ALC.,CADENA COMERCIAL OXXO SA DE CV,TIENDA DE AUTOSERVICIO,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
BRANDY,BOTELLA DE BRANDY CONTENIDO NETO 700 ML 38% ALC.,CADENA COMERCIAL OXXO SA DE CV,TIENDA DE AUTOSERVICIO,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
WHISKY,BOTELLA DE WHISKY CONENIDO 750 ML CON 40% ALC.,CADENA COMERCIAL OXXO SA DE CV,TIENDA DE AUTOSERVICIO,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
TEQUILA,CUMPLE CON LA NORMA,CADENA COMERCIAL OXXO SA DE CV   (COLON),ABARROTES,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
BRANDY,CUMPLE CON LA NORMA,CADENA COMERCIAL OXXO SA DE CV   (COLON),ABARROTES,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
TEQUILA,BOTELLA DE TEQUILA JOSE CUERVO DE 695 ML 100% AGAVE AZUL CON 38% ALC. VOL.,CADENA COMERCIAL OXXO SA DE CV  (MORELOS),ABARROTES,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
BRANDY,BOTELLA DE BRANDY TORRES 5 CONTENIDO NETO 700 ML CON 38% ALC. VOL.,CADENA COMERCIAL OXXO SA DE CV  (MORELOS),ABARROTES,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
TEQUILA,BOTELLA DE TEQUILA CONTENIDO NETO 950ML 35% ALC.,LA BOMBILLA VINOS SA DE CV,BEBIDAS ALCOHOLICAS,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
BRANDY,BOTELLA DE BANDY CONTENIDO NETO DE 700ML  100% DE UVA 38% ALC.,LA BOMBILLA VINOS SA DE CV,BEBIDAS ALCOHOLICAS,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
WHISKY,BOTELLA DE WHISKY CONTENIDO NETO 750ML,LA BOMBILLA VINOS SA DE CV,BEBIDAS ALCOHOLICAS,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
TEQUILA,BOTELLA DE VIDRIO CON TEQUILA REPOSADO 100% DE AGAVE AZUL  CONTENIDO NETO DE 695 ML CON 38% ALC.,TIENDAS EXTRA S.A DE C.V,ABARROTES,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
WHISKY,BOTELLA DE VIDRIO CON WHISKY A�EJADO BLACK LABEL CONTENIDO NETO 750ML,TIENDAS EXTRA S.A DE C.V,ABARROTES,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
BEBIDAS,SUERO REHIDRATANTE SABER FRESA ELECTROLIT MARCA PISA CONTENIDO NETO 625 ML,FARMACIAS BENAVIDES S.A.B. DE C.V.,FARMACIA,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
JUGOS,ENVASE DE VIDRIO CONTENIDO JUGO DE MANZANA Y CIRUELA PASA  GERBER MARCA NESTRLE CONTENIDO NETO 175 ML,FARMACIAS BENAVIDES S.A.B. DE C.V.,FARMACIA,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
TEQUILA,CUMPLE CON LA NOM,CADENA COMERCIAL OXXO  S. A. DE C. V.,ABARROTES,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
BRANDY,CUMPLE CON LA NOM,CADENA COMERCIAL OXXO  S. A. DE C. V.,ABARROTES,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
HUEVO,CHAROLA DE HUEVO CONTENIDO 12 PIEZAS,BODEGA AURRERA EXPRESS -  NUEVA WAL MART DE MEXICO S. DE R.L. DE C.V.,TIENDAS DE CONVENIENCIA,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
ACEITE COMESTIBLE,ACEITE MARCA SABRO SANO DE 746 ML VEGETAL COMESTIBLE DE SOYA Y CANOLA,BODEGA AURRERA EXPRESS -  NUEVA WAL MART DE MEXICO S. DE R.L. DE C.V.,TIENDAS DE CONVENIENCIA,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
MEDICAMENTOS,CUMPLE CON LA NOM,COMERCIALIZADORA FARMACEUTICA DE CHIAPAS SAPI DE CV / FARMACIAS DEL AHORRO,FARMACIA,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
LECHE, CUMPLE CON LA NOM,COMERCIALIZADORA FARMACEUTICA DE CHIAPAS SAPI DE CV / FARMACIAS DEL AHORRO,FARMACIA,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
TRAJE DE BA�O,TRAJE DE BA�O PARA MUJER EN UNA PIEZA EN COLOR NEGRO  TALLA 7. 82% POLIAMIDA  18% ELASTANO  FORRO 100%  POLIAMIDA. HECHO EN MEXICO POR: CREACIONES GUZ  S.A. DE C.V. CON INSTRUCCIONES DE LAVADO DE LA MARCA ZONE BEACH,DEL SOL-GRUPO COMERCIAL CONTROL  S. A. DE C. V.,TIENDA DEPARTAMENTAL,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
TRAJE DE BA�O,TRAJE DE BA�O PARA DAMA DE DOS PIEZAS DE COLOR ROZA TALLA G-11 DE LA MARCA ZONE BEACH CUERPO CALZON 83% POLIAMIDA  17% ELASTANO  FORRO 100% POLIAMIDA CON INSTRUCCIONES DE LAVADO. HECHO EN MEXICO POR CREACIONES GUZ S.A. DE C.V.,DEL SOL-GRUPO COMERCIAL CONTROL  S. A. DE C. V.,TIENDA DEPARTAMENTAL,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
TRAJE DE BA�O,TRAJE DE BA�O PARA NI�O  TALLA MEDIANA Y COLOR AZUL MARINO DE LA MARCA VOIT  HECHO EN MEXICO CON INSTRUCCIONES DE LAVADO,SEARS OPERADORA DE MEXICO  S. A. DE C. V.,TIENDA DEPARTAMENTAL,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
TRAJE DE BA�O,TRAJE DE BA�O PARA DAMA DE BA�O  TALLA 34  MARCA NIKE  FABRICADO POR PERRY ELLIS MEXICO  S. DE R.L. DE C.V.  HECHO EN MEXICO CON INSTRUCCIONES DE USO Y LAVADO,SEARS OPERADORA DE MEXICO  S. A. DE C. V.,TIENDA DEPARTAMENTAL,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
TRAJE DE BA�O,TRAJE DE BA�O DE LA MARCA ARENA  COLOR AZUL MARINO TALLA 36  HECHO EN CHINA IMPORTADO POR ARENA CONTINENTAL IMPORTACIONES  S.A. DE C.V. CON INDICACIONES DE LAVADO,DISTRIBUIDORA LIVERPOOL  SA DE CV,TIENDA DEPARTAMENTAL,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
TRAJE DE BA�O,TRAJE DE BA�O PARA DAMA TALLA 6  COLOR NEGO CON AZUL  HECHO EN CHINA  79% POLIAMIDA  21% ELASTANO  IMPORTADO POR PVH MEXICO S.A. DE C.V.  CON INSTRUCCIONES DE LAVADO,DISTRIBUIDORA LIVERPOOL  SA DE CV,TIENDA DEPARTAMENTAL,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
TEQUILA,tequila gran centenario plata contenido neto 700 mililitros 100% de agave 35% alc. vol. de origen mexico,LA SANTA - GRUPO ANTROMEX DE OCCIDENTE,DISCOTEQUE,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
RON,envase de vicrio ron de la marca matusalem de origen cuba  contenido neto 750 mililitros importado por casa cuervo,LA SANTA - GRUPO ANTROMEX DE OCCIDENTE,DISCOTEQUE,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
TEQUILA,Botella de vidrio contenido tequila  700 ml  40% alc.,EL DIVINO - OH PRODUCTIONS S.A. DE C.V.,DISCOTEQUE,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
CERVEZA,Botella de vidrio contenido cerveza  355 ml  con 4 5% alc. vol.,EL DIVINO - OH PRODUCTIONS S.A. DE C.V.,DISCOTEQUE,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
BEBIDA ALCOHOLICA,botella de vicrio conteniendo tequila reposado 100% de agave marca el jimador contenido neto 700ml  35% alc. vol. hecho en mexico por casa herradura en camino a la barranca del tecuane no. 10 amatitan jalisco c.p. 45380 leyenda el,HARD,DISCOTEQUE,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
BEBIDA ALCOHOLICA,cerveza lager especial marca dos equis contenido neto 325 mililitros 4.3 de alc. vol. hecho en mexico por cervecedria cuauhtemoc moctezuma,HARD,DISCOTEQUE,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
TEQUILA,BOTELLA DE VIDRIO CONTENIDO TEQUILA REPOSADO 100% DE AGAVE 700ML 40% ALC. VOL.,SANTISIMA- AROB  S.A. DE C.V.,DISCOTEQUE,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
CERVEZA,BOTELLA DE VIDRIO CON CERVEZA PREMIUM CONTENIDO NETO 355 ML,SANTISIMA- AROB  S.A. DE C.V.,DISCOTEQUE,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
BRANDY,ENVASE DE VRIDRIO CON BRANDY CONTENIDO NETO 700 ML 100% DE UVA,LAS COSTILLAS DE SANCHO - CUENTA EMPRESARIAL S.A. DE C.V.,RESTAURANT-BAR,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
TEQUILA,ENVASE DE VIDRIO CON TEQUILA 100% DE AGAVE CONTENIDO NETO 700ML,LAS COSTILLAS DE SANCHO - CUENTA EMPRESARIAL S.A. DE C.V.,RESTAURANT-BAR,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
TEQUILA,"ENVASE DE VIDRIO TEQUILA REPOSADO DE LA MARCA JOSE CUERVO TRADICIONAL CON CONTENIDO NETO DE 695ML  100% DE AGAVE AZUL  INDICA 28% ALC. VOL. HECHO EN MEXICO OSTENTA LA LEYENDA ""EL ABUSO EN EL CONSUMO DE ESTE PRODUCTO ES NOCIVO PARA",LA MANSION - RICHYCARLS S.A. DE C.V.,RESTAURANT-BAR,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
BRANDY,"ENVASE DE VIDRIO BOTELLA DE LA MARCA GRAN RESERVA TORRES 10 DE ORIGEN ESPA�CA CON CONT. NET. DE 700ML  100% DE UVA INDICA 38% ALC. VOL. HECHO EN ESPA�A Y OSTENTA LA LEYENDA ""EL ABUSO EN EL CONSUMO DE ESTE PRODUCTO ES NOCIVO PARA SA",LA MANSION - RICHYCARLS S.A. DE C.V.,RESTAURANT-BAR,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
TEQUILA,BOTELLA DE TEQUILA REPOSADO CONTENIDO 695 ML 100% AGAVE AZUL,RUIDOSO - PEYC CONSTRUCCIONES S.A. DE C.V.,DISCOTEQUE,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
BRANDY,BOTELLA DE VIDRIO CON BRANDY 700ML 100% UVA,RUIDOSO - PEYC CONSTRUCCIONES S.A. DE C.V.,DISCOTEQUE,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
TEQUILA REPOSADO,"BOTELLA DE VIDRIO CONTENIDO TEQUILA REPOSADO 100% DE AFAVE AZUL JOSE CUERVO TRADICIONAL CONT. NET. 695ML  38% ALC. VOL. HECHO EN MEXICO CON LA LEYENDA ""EL ABUSO DE ESTE PRODUCTO ES NOCIVO PARA LA SALUD""",LA MAJADA-ILIANA RODRIGUEZ GARCIA,RESTAURANT-BAR,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
CERVEZA,"BOTELLA DE VIDRIO CONTENIDO CERVEZA CLARA CORONO EXTRA CONT. NET. 355ML  4.5% ALC. VOL. HECHO EN MEXICO POR CERVECERIA MODELO  S.A. DE C.V. CON LA LEYENDA ""EL ABUSO EN EL CONSUDMO DE ESTE PRODUCTO ES NOCIVO PARA LA SALUD""",LA MAJADA-ILIANA RODRIGUEZ GARCIA,RESTAURANT-BAR,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
TEQUILA,BOTELLA DE VIDRIO CONTENIDA TEQUILA REPOSADO 100% AGAVE DE 750 ML,LA GARUFA REST. ARGENTINO - GASTRONOMIA AG  S. A. DE C. V.,RESTAURANT-BAR,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
CERVEZA,BOTELLA DE VIDRIO CONTENIDO CERVEZA DE 355 ML,LA GARUFA REST. ARGENTINO - GASTRONOMIA AG  S. A. DE C. V.,RESTAURANT-BAR,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
TEQUILA,"BOTELLA DE VIDRIO CONTENIDO TEQUILA A�EKO 100% DE AGAVE CONT. NET. 750ML  40% ALC. VOL. HECHO EN MEXICO POR CASA HERRADURA. CON LA LEYENDA ""EL ABUSO DEL CONSUMO DE ESTE PRODUCTO ES NOCIVO PARA LA SALUD""",EL COSTE�ITO - CANGREJITO PLAYERO S.A. DE C.V.,RESTAURANT-BAR,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
CERVEZA,"ENVASE DE VIDRIO CONTENIDO CERVEZA CLARA MARCA PACIFICO CONT. NET. 355ML 4.5% ALC. VOL. HECHO EN MEXICO POR CERVECERIA DEL PACIFICO S. DE R.L. DE C.V. CON LA LEYENDA ""EL ABUSO DEL CONSUMO DE ESTE PRODUCTO ES NOCIVO PARA LA SALUD""",EL COSTE�ITO - CANGREJITO PLAYERO S.A. DE C.V.,RESTAURANT-BAR,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
